组播频道,#genre#

CCTV1,http://182.149.106.41:8888/udp/239.93.0.184:5140$(四川成都)
CCTV2,http://182.149.106.41:8888/udp/239.93.1.23:6000$(四川成都)
CCTV3,http://182.149.106.41:8888/udp/239.93.1.11:2223$(四川成都)
CCTV4,http://182.149.106.41:8888/udp/239.93.1.105:5140$(四川成都)
CCTV5,http://182.149.106.41:8888/udp/239.93.42.37:5140$(四川成都)
CCTV5+,http://182.149.106.41:8888/udp/239.93.1.36:8004$(四川成都)
CCTV6,http://182.149.106.41:8888/udp/239.93.1.13:2226$(四川成都)
CCTV7,http://182.149.106.41:8888/udp/239.93.1.67:5140$(四川成都)
CCTV8,http://182.149.106.41:8888/udp/239.93.42.39:5140$(四川成都)
CCTV9,http://182.149.106.41:8888/udp/239.93.1.24:5140$(四川成都)
CCTV10,http://182.149.106.41:8888/udp/239.93.1.28:5140$(四川成都)
CCTV11,http://182.149.106.41:8888/udp/239.93.0.102:5140$(四川成都)
CCTV12,http://182.149.106.41:8888/udp/239.93.1.30:8124$(四川成都)
CCTV13,http://182.149.106.41:8888/udp/239.93.0.66:5140$(四川成都)
CCTV14,http://182.149.106.41:8888/udp/239.93.1.29:6000$(四川成都)
CCTV15,http://182.149.106.41:8888/udp/239.93.0.103:5140$(四川成都)
CCTV16,http://116.179.130.242:6000/rtp/226.0.2.169:9264$(山西忻州)
CCTV17,http://182.149.106.41:8888/udp/239.93.0.92:5140$(四川成都)


CCTV1,http://116.179.130.242:6000/rtp/226.0.2.153:9136$(山西忻州)
CCTV2,http://116.179.130.242:6000/rtp/226.0.2.154:9144$(山西忻州)
CCTV3,http://116.179.130.242:6000/rtp/226.0.2.208:9576$(山西忻州)
CCTV4,http://116.179.130.242:6000/rtp/226.0.2.156:9160$(山西忻州)
CCTV5,http://116.179.130.242:6000/rtp/226.0.2.209:9584$(山西忻州)
CCTV5+,http://116.179.130.242:6000/rtp/226.0.2.168:9256$(山西忻州)
CCTV6,http://116.179.130.242:6000/rtp/226.0.2.210:9592$(山西忻州)
CCTV7,http://116.179.130.242:6000/rtp/226.0.2.159:9184$(山西忻州)
CCTV8,http://116.179.130.242:6000/rtp/226.0.2.211:9600$(山西忻州)
CCTV9,http://116.179.130.242:6000/rtp/226.0.2.161:9200$(山西忻州)
CCTV10,http://116.179.130.242:6000/rtp/226.0.2.162:9208$(山西忻州)
CCTV12,http://116.179.130.242:6000/rtp/226.0.2.164:9224$(山西忻州)
CCTV13,http://116.179.130.242:6000/rtp/226.0.2.165:9232$(山西忻州)
CCTV14,http://116.179.130.242:6000/rtp/226.0.2.166:9240$(山西忻州)
CCTV16,http://116.179.130.242:6000/rtp/226.0.2.169:9264$(山西忻州)
CCTV17,http://116.179.130.242:6000/rtp/226.0.2.170:9272$(山西忻州)

CCTV1,http://221.205.202.153:8084/rtp/226.0.2.153:9136$(山西太原)
CCTV2,http://221.205.202.153:8084/rtp/226.0.2.154:9144$(山西太原)
CCTV3,http://221.205.202.153:8084/rtp/226.0.2.208:9576$(山西太原)
CCTV4,http://221.205.202.153:8084/rtp/226.0.2.156:9160$(山西太原)
CCTV5,http://221.205.202.153:8084/rtp/226.0.2.209:9584$(山西太原)
CCTV5+,http://221.205.202.153:8084/rtp/226.0.2.168:9256$(山西太原)
CCTV6,http://221.205.202.153:8084/rtp/226.0.2.210:9592$(山西太原)
CCTV7,http://221.205.202.153:8084/rtp/226.0.2.159:9184$(山西太原)
CCTV8,http://221.205.202.153:8084/rtp/226.0.2.211:9600$(山西太原)
CCTV9,http://221.205.202.153:8084/rtp/226.0.2.161:9200$(山西太原)
CCTV10,http://221.205.202.153:8084/rtp/226.0.2.162:9208$(山西太原)
CCTV12,http://221.205.202.153:8084/rtp/226.0.2.164:9224$(山西太原)
CCTV13,http://221.205.202.153:8084/rtp/226.0.2.165:9232$(山西太原)
CCTV14,http://221.205.202.153:8084/rtp/226.0.2.166:9240$(山西太原)
CCTV16,http://221.205.202.153:8084/rtp/226.0.2.169:9264$(山西太原)
CCTV17,http://221.205.202.153:8084/rtp/226.0.2.170:9272$(山西太原)


CCTV1,http://211.90.88.50:8085/rtp/226.0.2.153:9136$(山西朔州)
CCTV2,http://211.90.88.50:8085/rtp/226.0.2.154:9144$(山西朔州)
CCTV3,http://211.90.88.50:8085/rtp/226.0.2.208:9576$(山西朔州)
CCTV4,http://211.90.88.50:8085/rtp/226.0.2.156:9160$(山西朔州)
CCTV5,http://211.90.88.50:8085/rtp/226.0.2.209:9584$(山西朔州)
CCTV5+,http://211.90.88.50:8085/rtp/226.0.2.168:9256$(山西朔州)
CCTV6,http://211.90.88.50:8085/rtp/226.0.2.210:9592$(山西朔州)
CCTV7,http://211.90.88.50:8085/rtp/226.0.2.159:9184$(山西朔州)
CCTV8,http://211.90.88.50:8085/rtp/226.0.2.211:9600$(山西朔州)
CCTV9,http://211.90.88.50:8085/rtp/226.0.2.161:9200$(山西朔州)
CCTV10,http://211.90.88.50:8085/rtp/226.0.2.162:9208$(山西朔州)
CCTV12,http://211.90.88.50:8085/rtp/226.0.2.164:9224$(山西朔州)
CCTV13,http://211.90.88.50:8085/rtp/226.0.2.165:9232$(山西朔州)
CCTV14,http://211.90.88.50:8085/rtp/226.0.2.166:9240$(山西朔州)
CCTV16,http://211.90.88.50:8085/rtp/226.0.2.169:9264$(山西朔州)
CCTV17,http://211.90.88.50:8085/rtp/226.0.2.170:9272$(山西朔州)


CCTV1,http://1.83.163.75:8888/rtp/239.112.205.59:5140$(陕西西安)
CCTV2,http://1.83.163.75:8888/rtp/239.112.205.78:5140$(陕西西安)
CCTV3,http://1.83.163.75:8888/rtp/239.112.205.221:5140$(陕西西安)
